index,ion_index,energy,s,p,d
8009,Zr,-44.6892,0.0,0.0,0.0
5009,S,-44.6892,0.0,0.0,0.0
2009,Ba,-44.6892,0.0,0.0,0.0
8008,Zr,-44.6694,0.0,0.0,0.0
2008,Ba,-44.6694,0.0,0.0,0.0
5008,S,-44.6694,0.0,0.0,0.0
2007,Ba,-44.6497,0.0,0.0,0.0
8007,Zr,-44.6497,0.0,0.0,0.0
5007,S,-44.6497,0.0,0.0,0.0
8006,Zr,-44.63,0.0,0.0,0.0
2006,Ba,-44.63,0.0,0.0,0.0
5006,S,-44.63,0.0,0.0,0.0
2005,Ba,-44.6102,0.0,0.0,0.0
8005,Zr,-44.6102,0.0,0.0,0.0
5005,S,-44.6102,0.0,0.0,0.0
8004,Zr,-44.5905,0.0,0.0,0.0
2004,Ba,-44.5905,0.0,0.0,0.0
5004,S,-44.5905,0.0,0.0,0.0
5003,S,-44.5707,0.0,0.0,0.0
2003,Ba,-44.5707,0.0,0.0,0.0
8003,Zr,-44.5707,0.0,0.0,0.0
5002,S,-44.551,0.0,0.0,0.0
8002,Zr,-44.551,0.0,0.0,0.0
2002,Ba,-44.551,0.0,0.0,0.0
5001,S,-44.5312,0.0,0.0,0.0
8001,Zr,-44.5312,0.0,0.0,0.0
2001,Ba,-44.5312,0.0,0.0,0.0
5000,S,-44.5115,0.0,0.0,0.0
8000,Zr,-44.5115,0.0,0.0,0.0
2000,Ba,-44.5115,0.0,0.0,0.0
4999,S,-44.4917,0.0,0.0,0.0
1999,Ba,-44.4917,0.0,0.0,0.0
7999,Zr,-44.4917,0.0,0.0,0.0
1998,Ba,-44.472,0.0,0.0,0.0
4998,S,-44.472,0.0,0.0,0.0
7998,Zr,-44.472,0.0,0.0,0.0
4997,S,-44.4523,0.0,0.0,0.0
1997,Ba,-44.4523,0.0,0.0,0.0
7997,Zr,-44.4523,0.0,0.0,0.0
1996,Ba,-44.4325,0.0,0.0,0.0
4996,S,-44.4325,0.0,0.0,0.0
7996,Zr,-44.4325,0.0,0.0,0.0
1995,Ba,-44.4128,0.0,0.0,0.0
7995,Zr,-44.4128,0.0,0.0,0.0
4995,S,-44.4128,0.0,0.0,0.0
4994,S,-44.393,0.0,0.0,0.0
